UID          PID    PPID  C STIME TTY          TIME CMD
student    11856   11028  0 12:29 pts/5    00:00:00 /usr/bin/bash --init-file /usr/share/code/resources/app/out/vs/workbench/contrib/terminal/browser/media/shellIntegration-bash.sh
student    12314    2060  0 13:05 ?        00:00:00 file-roller /home/student/Downloads/bash_scripting_exe1-c7f795cb6bb4425a812cd775f58fdabeb1885b3a.zip
root       13290       2  0 13:13 ?        00:00:07 [kworker/1:2-events]
root       15403       1  0 18:04 ?        00:00:01 /usr/libexec/fwupd/fwupd
root       15617       1  0 18:04 ?        00:00:00 /usr/sbin/cupsd -l
root       15618       1  0 18:04 ?        00:00:00 /usr/sbin/cups-browsed
root       16392       2  0 18:24 ?        00:00:00 [kworker/0:2-events]
root       16400       2  0 18:30 ?        00:00:01 [kworker/1:0-events]
root       16485       2  0 19:17 ?        00:00:00 [kworker/u4:3-events_unbound]
student    16609   11028  0 19:22 pts/1    00:00:00 /usr/bin/bash --init-file /usr/share/code/resources/app/out/vs/workbench/contrib/terminal/browser/media/shellIntegration-bash.sh
root       17723       2  0 19:40 ?        00:00:00 [kworker/u4:0-events_unbound]
root       17729       2  0 19:43 ?        00:00:00 [kworker/0:1-events]
root       17737       2  0 19:47 ?        00:00:00 [kworker/u4:1-events_unbound]
root       17738       2  0 19:47 ?        00:00:00 [kworker/u4:2-events_power_efficient]
student    17959   11028  0 19:49 ?        00:00:00 [sh]
student    17961   16609  0 19:49 pts/1    00:00:00 bash Exe1.sh
student    17963   17961  0 19:49 pts/1    00:00:00 ps -ef
